tweet_id,retweet_count,like_count
866450705531457537,30716,110385
866334964761202691,12388,47267
866094527597207552,7269,0
865718153858494464,4922,23258
865359393868664832,4362,23946
865006731092295680,6762,25403
864873206498414592,7573,29205
864279568663928832,2619,13256
864197398364647424,7695,27036
863907417377173506,3640,18718
863553081350529029,3680,13860
863471782782697472,2112,0
863432100342583297,4615,21613
863427515083354112,81,1983
863079547188785154,970,8002
863062471531167744,2112,7626
862831371563274240,4521,17440
862722525377298433,3129,15552
862457590147678208,4307,18510
862096992088072192,20276,67211
862096992088072192,20276,67211
861383897657036800,9408,32740
861288531465048066,3642,15574
861005113778896900,3378,15215
860981674716409858,1875,0
860924035999428608,690,0
860563773140209665,1875,6821
860524505164394496,4673,21570
860276583193509888,3114,16833
860184849394610176,5183,15211
860177593139703809,27206,0
859924526012018688,3637,17912
859851578198683649,3117,14158
859607811541651456,1375,17065
859196978902773760,26682,81781
859074603037188101,12137,30874
858860390427611136,7187,0
858843525470990336,3067,14321
858471635011153920,4321,19786
858107933456039936,2569,14452
857989990357356544,2295,14710
857746408056729600,9484,31267
857393404942143489,1459,5379
857263160327368704,4029,18483
857214891891077121,16,207
857062103051644929,149,0
857029823797047296,3542,17304
857029823797047296,3542,17304
856543823941562368,2583,15060
856526610513747968,1675,10982
856526610513747968,1675,10982
856288084350160898,15,493
856282028240666624,5655,25608
855862651834028034,22,309
855860136149123072,867,4484
855857698524602368,1890,10994
855851453814013952,16374,42555
855818117272018944,4884,24610
855459453768019968,7401,27497
855245323840757760,5355,0
855138241867124737,36,0
854732716440526848,5455,21015
854482394044301312,6118,27007
854365224396361728,4227,17448
854120357044912130,6712,29627
854010172552949760,2841,15067
853760880890318849,5192,26475
853639147608842240,9005,32022
853299958564483072,3218,14377
852936405516943360,1814,0
852912242202992640,1632,8366
852672615818899456,1959,13869
852553447878664193,3163,15118
852311364735569921,9013,30792
852226086759018497,6183,18608
852189679701164033,1444,10721
852189679701164033,1444,10721
851861385021730816,19,0
851591660324737024,3174,15190
851464819735769094,6410,22629
851224888060895234,5248,19323
850753642995093505,8226,28579
850380195714523136,2376,12253
850333567704068097,304,3239
850145622816686080,3450,15249
850019790995546112,4452,19062
849776966551130114,6931,28344
849668094696017920,4522,0
849412302885593088,2879,14873
849336543269576704,1722,10731
849051919805034497,7750,39636
848690551926992896,3978,23647
848324959059550208,4224,23206
848213670039564288,659,7651
848212111729840128,2757,15264
847978865427394560,2984,0
847971574464610304,403,0
847962785489326080,4659,22078
847842811428974592,1208,5091
847617282490613760,380,6578
847606175596138505,3139,17614
847251039262605312,3983,19275
847157206088847362,5335,18663
847116187444137987,2922,20192
846874817362120707,3610,18910
846514051647705089,10572,41827
846505985330044928,2820,13282
846153765933735936,8318,29589
846139713627017216,9308,29233
846042936437604353,2630,15052
845812042753855489,7990,27477
845677943972139009,4440,23807
845677943972139009,4440,23807
845397057150107648,1638,7210
845306882940190720,4953,21951
845098359547420673,7056,0
844979544864018432,2347,12875
844973813909606400,2907,14159
844973813909606400,2907,14159
844580511645339650,2862,15522
844223788422217728,2014,12906
843981021012017153,2737,14356
843856843873095681,4241,20269
843604394117681152,2523,15974
843235543001513987,5512,20298
843235543001513987,5512,20298
842846295480000512,3360,14448
842765311967449089,1185,6386
842535590457499648,3240,17169
842163532590374912,5355,23089
842115215311396866,2802,13227
841833993020538882,13809,0
841680585030541313,7267,24404
841439858740625411,3376,11938
841320156043304961,5110,18715
841314665196081154,4297,14988
841077006473256960,4951,21672
840761248237133825,1634,0
840728873075638272,14886,0
840698636975636481,2,168
840696689258311684,902,11644
840632337062862849,1634,8556
840370681858686976,4243,15580
840268004936019968,5310,18201
839990271299457024,2103,12737
839549326359670784,7187,25986
839290600511926273,135,0
839239871831150596,6033,25629
838952994649550848,3721,18678
838921590096166913,1891,10586
838916489579200512,31,0
838831947270979586,10222,0
838561493054533637,1242,10414
838476387338051585,4405,21292
838201503651401729,9354,0
838150277551247360,311,1583
838085839343206401,1,134
838083903487373313,2895,16739
837820167694528512,7269,32317
837482249356513284,413,3661
837471256429613056,2098,12175
837471256429613056,2098,12175
837110210464448512,2204,15293
837110210464448512,2204,15293
836989968035819520,2149,12141
836753516572119041,4321,18405
836677758902222849,2058,12031
836648853927522308,516,0
836397794269200385,25533,0
836380477523124226,2790,14108
836260088725786625,4040,20291
836001077879255040,3963,18170
835685285446955009,7572,0
835574547218894849,3368,16941
835536468978302976,1573,0
835309094223372289,19487,0
835297930240217089,2789,15694
835264098648616962,1573,7358
835246439529840640,64,2012
835172783151792128,5369,24945
835152434251116546,2815,21281
834931633769889797,1515,10266
834786237630337024,5179,20514
